
Predictions were generated on 06-May-2022 at 10:19:15 using OpenFAST, compiled as a 64-bit application using double precision at commit v3.0.0-461-g2f1e4f71-dirty
 linked with  NWTC Subroutine Library; ElastoDyn; SubDyn

Description from the FAST input file: FAST Certification Test #19: NREL 5.0 MW Baseline Wind Turbine with OC3 Monopile RF Configuration, for use in offshore analysis

Time	TwHt1TPxi	TwHt1TPyi	TTDspTwst	PtfmSurge	PtfmSway	PtfmRoll	PtfmPitch
(s)	(m)	(m)	(deg)	(m)	(m)	(deg)	(deg)
    0.0000	 0.000E+00	-0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
    0.0500	 3.845E-05	 1.377E-08	 0.000E+00	 9.127E-05	-9.712E-08	-4.062E-07	-2.458E-03
    0.1000	-9.252E-05	-7.551E-08	 0.000E+00	 6.068E-04	-1.209E-08	-1.871E-06	-5.698E-03
    0.1500	-4.952E-04	 4.679E-08	 0.000E+00	 1.983E-03	 9.599E-08	 2.562E-06	-8.454E-03
    0.2000	-1.010E-03	 1.429E-08	 0.000E+00	 4.262E-03	-5.718E-08	 1.457E-08	-9.959E-03
    0.2500	-1.383E-03	-6.503E-08	 0.000E+00	 7.336E-03	-1.158E-08	-1.718E-06	-1.101E-02
    0.3000	-1.534E-03	-6.625E-09	 0.000E+00	 1.117E-02	 9.667E-08	 5.184E-07	-1.028E-02
    0.3500	-1.401E-03	 5.753E-08	 0.000E+00	 1.558E-02	-3.307E-08	 9.607E-07	-8.503E-03
    0.4000	-1.031E-03	-1.125E-08	 0.000E+00	 2.042E-02	-1.052E-08	-5.909E-07	-6.886E-03
    0.4500	-5.573E-04	-4.018E-08	 0.000E+00	 2.556E-02	 7.913E-08	-8.533E-07	-4.566E-03
    0.5000	 8.071E-05	 5.275E-08	 0.000E+00	 3.065E-02	-1.727E-08	 1.106E-06	-2.516E-03
    0.5500	 1.014E-03	-5.630E-09	 0.000E+00	 3.533E-02	 2.112E-08	 1.081E-07	-1.475E-03
    0.6000	 2.343E-03	-6.171E-08	 0.000E+00	 3.932E-02	 7.593E-08	-1.402E-06	-4.505E-04
    0.6500	 4.211E-03	 6.005E-08	 0.000E+00	 4.237E-02	-4.879E-08	 1.051E-06	-1.920E-04
    0.7000	 6.626E-03	 2.096E-08	 0.000E+00	 4.446E-02	-2.645E-08	 3.869E-07	-1.100E-03
    0.7500	 9.464E-03	-4.074E-08	 0.000E+00	 4.577E-02	 3.064E-09	-1.429E-06	-2.295E-03
    0.8000	 1.265E-02	 6.955E-08	 0.000E+00	 4.655E-02	-1.109E-07	 1.127E-06	-4.275E-03
    0.8500	 1.611E-02	 7.772E-09	 0.000E+00	 4.710E-02	-4.895E-08	 4.338E-07	-6.891E-03
    0.9000	 1.981E-02	-6.321E-08	 0.000E+00	 4.773E-02	 3.937E-09	-1.352E-06	-9.055E-03
    0.9500	 2.380E-02	 4.245E-08	 0.000E+00	 4.865E-02	-8.356E-08	 1.143E-06	-1.093E-02
    1.0000	 2.810E-02	-1.357E-08	 0.000E+00	 5.010E-02	-5.600E-09	 2.787E-07	-1.220E-02
    1.0500	 3.265E-02	-5.699E-08	 0.000E+00	 5.224E-02	 3.795E-08	-1.293E-06	-1.218E-02
    1.1000	 3.741E-02	 5.508E-08	 0.000E+00	 5.517E-02	-4.231E-08	 1.110E-06	-1.137E-02
    1.1500	 4.233E-02	-4.978E-09	 0.000E+00	 5.888E-02	 4.596E-08	 7.284E-08	-9.793E-03
    1.2000	 4.734E-02	-4.450E-08	 0.000E+00	 6.326E-02	 8.888E-08	-1.224E-06	-7.253E-03
    1.2500	 5.249E-02	 4.885E-08	 0.000E+00	 6.803E-02	 2.094E-08	 1.038E-06	-4.417E-03
    1.3000	 5.782E-02	-1.987E-08	 0.000E+00	 7.288E-02	 9.932E-08	-1.256E-07	-1.418E-03
    1.3500	 6.335E-02	-4.349E-08	 0.000E+00	 7.747E-02	 1.038E-07	-1.103E-06	 1.699E-03
    1.4000	 6.911E-02	 5.032E-08	 0.000E+00	 8.150E-02	 6.103E-09	 1.014E-06	 4.243E-03
    1.4500	 7.504E-02	-9.544E-09	 0.000E+00	 8.477E-02	 4.407E-08	-1.984E-07	 6.095E-03
    1.5000	 8.109E-02	-1.804E-08	 0.000E+00	 8.721E-02	 1.145E-08	-8.620E-07	 7.250E-03
    1.5500	 8.720E-02	 6.060E-08	 0.000E+00	 8.879E-02	-8.643E-08	 1.059E-06	 7.365E-03
    1.6000	 9.331E-02	-8.624E-09	 0.000E+00	 8.963E-02	-4.492E-08	-1.924E-07	 6.720E-03
    1.6500	 9.939E-02	-1.784E-08	 0.000E+00	 8.989E-02	-6.720E-08	-6.108E-07	 5.644E-03
    1.7000	 1.054E-01	 4.343E-08	 0.000E+00	 8.980E-02	-1.300E-07	 1.058E-06	 4.186E-03
    1.7500	 1.112E-01	-2.375E-08	 0.000E+00	 8.964E-02	-6.467E-08	-2.199E-07	 2.816E-03
    1.8000	 1.168E-01	-2.117E-08	 0.000E+00	 8.971E-02	-6.309E-08	-4.535E-07	 1.858E-03
    1.8500	 1.221E-01	 3.358E-08	 0.000E+00	 9.025E-02	-8.405E-08	 9.365E-07	 1.345E-03
    1.9000	 1.270E-01	-2.725E-08	 0.000E+00	 9.142E-02	 7.288E-09	-3.449E-07	 1.586E-03
    1.9500	 1.315E-01	-1.820E-08	 0.000E+00	 9.327E-02	 2.953E-08	-4.287E-07	 2.656E-03
    2.0000	 1.356E-01	 2.503E-08	 0.000E+00	 9.572E-02	 3.180E-08	 7.119E-07	 4.373E-03
    2.0500	 1.393E-01	-3.137E-08	 0.000E+00	 9.863E-02	 1.153E-07	-5.011E-07	 6.728E-03
    2.1000	 1.425E-01	-1.575E-08	 0.000E+00	 1.017E-01	 1.147E-07	-4.166E-07	 9.457E-03
    2.1500	 1.454E-01	 2.177E-08	 0.000E+00	 1.048E-01	 9.115E-08	 5.443E-07	 1.215E-02
    2.2000	 1.478E-01	-2.474E-08	 0.000E+00	 1.075E-01	 1.255E-07	-5.355E-07	 1.459E-02
    2.2500	 1.499E-01	-2.201E-09	 0.000E+00	 1.096E-01	 7.720E-08	-2.909E-07	 1.648E-02
    2.3000	 1.515E-01	 2.844E-08	 0.000E+00	 1.109E-01	 1.953E-08	 5.187E-07	 1.753E-02
    2.3500	 1.528E-01	-1.328E-08	 0.000E+00	 1.114E-01	 1.605E-08	-4.220E-07	 1.775E-02
    2.4000	 1.536E-01	 8.434E-09	 0.000E+00	 1.110E-01	-5.150E-08	-7.102E-08	 1.711E-02
    2.4500	 1.541E-01	 2.781E-08	 0.000E+00	 1.098E-01	-1.051E-07	 5.750E-07	 1.566E-02
    2.5000	 1.541E-01	-1.251E-08	 0.000E+00	 1.080E-01	-9.938E-08	-2.671E-07	 1.368E-02
    2.5500	 1.536E-01	 4.855E-09	 0.000E+00	 1.059E-01	-1.371E-07	 5.209E-08	 1.141E-02
    2.6000	 1.525E-01	 2.069E-08	 0.000E+00	 1.037E-01	-1.413E-07	 6.807E-07	 8.946E-03
    2.6500	 1.510E-01	-2.013E-08	 0.000E+00	 1.018E-01	-9.263E-08	-2.585E-07	 6.665E-03
    2.7000	 1.489E-01	-4.769E-09	 0.000E+00	 1.003E-01	-7.897E-08	-6.694E-09	 4.850E-03
    2.7500	 1.463E-01	 7.211E-09	 0.000E+00	 9.947E-02	-3.482E-08	 4.623E-07	 3.627E-03
    2.8000	 1.431E-01	-2.520E-08	 0.000E+00	 9.934E-02	 4.191E-08	-3.340E-07	 3.133E-03
    2.8500	 1.395E-01	-8.559E-09	 0.000E+00	 9.987E-02	 6.980E-08	-1.108E-07	 3.357E-03
    2.9000	 1.355E-01	 4.579E-10	 0.000E+00	 1.009E-01	 1.083E-07	 1.855E-07	 4.127E-03
    2.9500	 1.311E-01	-2.315E-08	 0.000E+00	 1.023E-01	 1.564E-07	-4.364E-07	 5.252E-03
    3.0000	 1.264E-01	-3.760E-09	 0.000E+00	 1.038E-01	 1.448E-07	-1.501E-07	 6.456E-03
    3.0500	 1.215E-01	 4.167E-09	 0.000E+00	 1.051E-01	 1.318E-07	 7.523E-08	 7.430E-03
    3.1000	 1.165E-01	-1.253E-08	 0.000E+00	 1.060E-01	 1.192E-07	-3.880E-07	 7.948E-03
    3.1500	 1.114E-01	 8.068E-09	 0.000E+00	 1.063E-01	 5.540E-08	-3.310E-08	 7.811E-03
    3.2000	 1.063E-01	 1.395E-08	 0.000E+00	 1.059E-01	-5.023E-10	 1.643E-07	 6.895E-03
    3.2500	 1.012E-01	-5.570E-10	 0.000E+00	 1.047E-01	-4.363E-08	-1.870E-07	 5.213E-03
    3.3000	 9.611E-02	 1.560E-08	 0.000E+00	 1.029E-01	-1.110E-07	 1.716E-07	 2.850E-03
    3.3500	 9.115E-02	 1.507E-08	 0.000E+00	 1.007E-01	-1.483E-07	 3.008E-07	-1.814E-05
    3.4000	 8.629E-02	-1.284E-09	 0.000E+00	 9.826E-02	-1.562E-07	-2.170E-08	-3.117E-03
    3.4500	 8.154E-02	 9.350E-09	 0.000E+00	 9.587E-02	-1.679E-07	 2.594E-07	-6.164E-03
    3.5000	 7.694E-02	 4.870E-09	 0.000E+00	 9.379E-02	-1.421E-07	 2.771E-07	-8.877E-03
    3.5500	 7.249E-02	-9.817E-09	 0.000E+00	 9.223E-02	-9.022E-08	-5.758E-08	-1.100E-02
    3.6000	 6.824E-02	-4.156E-10	 0.000E+00	 9.135E-02	-4.593E-08	 1.360E-07	-1.237E-02
    3.6500	 6.423E-02	-4.874E-09	 0.000E+00	 9.119E-02	 2.002E-08	 7.378E-08	-1.294E-02
    3.7000	 6.048E-02	-1.571E-08	 0.000E+00	 9.173E-02	 8.895E-08	-2.338E-07	-1.272E-02
    3.7500	 5.706E-02	-5.518E-09	 0.000E+00	 9.283E-02	 1.303E-07	-6.429E-08	-1.185E-02
    3.8000	 5.401E-02	-7.570E-09	 0.000E+00	 9.429E-02	 1.684E-07	-1.231E-07	-1.055E-02
    3.8500	 5.141E-02	-1.251E-08	 0.000E+00	 9.588E-02	 1.865E-07	-3.341E-07	-9.053E-03
    3.9000	 4.929E-02	 6.625E-10	 0.000E+00	 9.735E-02	 1.655E-07	-1.203E-07	-7.636E-03
    3.9500	 4.771E-02	 2.026E-09	 0.000E+00	 9.846E-02	 1.340E-07	-1.181E-07	-6.540E-03
    4.0000	 4.668E-02	 1.052E-09	 0.000E+00	 9.906E-02	 8.457E-08	-2.141E-07	-5.942E-03
    4.0500	 4.623E-02	 1.315E-08	 0.000E+00	 9.904E-02	 1.160E-08	 3.954E-08	-5.952E-03
    4.1000	 4.635E-02	 1.234E-08	 0.000E+00	 9.843E-02	-5.279E-08	 7.337E-08	-6.574E-03
    4.1500	 4.703E-02	 9.098E-09	 0.000E+00	 9.730E-02	-1.115E-07	 2.559E-08	-7.707E-03
    4.2000	 4.824E-02	 1.566E-08	 0.000E+00	 9.583E-02	-1.656E-07	 2.415E-07	-9.180E-03
    4.2500	 4.994E-02	 1.056E-08	 0.000E+00	 9.423E-02	-1.886E-07	 2.263E-07	-1.076E-02
    4.3000	 5.209E-02	 4.802E-09	 0.000E+00	 9.274E-02	-1.882E-07	 1.408E-07	-1.218E-02
    4.3500	 5.465E-02	 7.463E-09	 0.000E+00	 9.159E-02	-1.700E-07	 2.551E-07	-1.320E-02
    4.4000	 5.757E-02	 4.514E-10	 0.000E+00	 9.098E-02	-1.201E-07	 1.534E-07	-1.362E-02
    4.4500	 6.082E-02	-5.566E-09	 0.000E+00	 9.102E-02	-5.507E-08	 1.521E-08	-1.331E-02
    4.5000	 6.435E-02	-4.053E-09	 0.000E+00	 9.175E-02	 1.272E-08	 5.081E-08	-1.222E-02
    4.5500	 6.816E-02	-9.773E-09	 0.000E+00	 9.311E-02	 8.719E-08	-8.387E-08	-1.042E-02
    4.6000	 7.222E-02	-1.246E-08	 0.000E+00	 9.496E-02	 1.487E-07	-2.044E-07	-8.046E-03
    4.6500	 7.651E-02	-7.899E-09	 0.000E+00	 9.712E-02	 1.865E-07	-1.577E-07	-5.315E-03
    4.7000	 8.102E-02	-8.654E-09	 0.000E+00	 9.933E-02	 2.060E-07	-2.343E-07	-2.481E-03
    4.7500	 8.573E-02	-5.987E-09	 0.000E+00	 1.014E-01	 1.956E-07	-2.616E-07	 1.952E-04
    4.8000	 9.062E-02	 1.656E-09	 0.000E+00	 1.030E-01	 1.557E-07	-1.437E-07	 2.477E-03
    4.8500	 9.565E-02	 3.335E-09	 0.000E+00	 1.042E-01	 1.000E-07	-1.323E-07	 4.194E-03
    4.9000	 1.008E-01	 6.704E-09	 0.000E+00	 1.047E-01	 2.792E-08	-7.415E-08	 5.251E-03
    4.9500	 1.060E-01	 1.207E-08	 0.000E+00	 1.046E-01	-5.088E-08	 7.946E-08	 5.644E-03
    5.0000	 1.111E-01	 1.093E-08	 0.000E+00	 1.040E-01	-1.192E-07	 1.134E-07	 5.464E-03
    5.0500	 1.162E-01	 1.077E-08	 0.000E+00	 1.030E-01	-1.750E-07	 1.675E-07	 4.873E-03
    5.1000	 1.212E-01	 1.148E-08	 0.000E+00	 1.018E-01	-2.096E-07	 2.638E-07	 4.081E-03
    5.1500	 1.259E-01	 6.639E-09	 0.000E+00	 1.008E-01	-2.128E-07	 2.298E-07	 3.326E-03
    5.2000	 1.303E-01	 3.277E-09	 0.000E+00	 9.995E-02	-1.899E-07	 2.027E-07	 2.830E-03
    5.2500	 1.344E-01	 8.728E-10	 0.000E+00	 9.958E-02	-1.423E-07	 1.961E-07	 2.771E-03
    5.3000	 1.381E-01	-5.396E-09	 0.000E+00	 9.975E-02	-7.182E-08	 8.111E-08	 3.258E-03
    5.3500	 1.413E-01	-9.014E-09	 0.000E+00	 1.005E-01	 6.775E-09	-7.087E-09	 4.319E-03
    5.4000	 1.441E-01	-1.067E-08	 0.000E+00	 1.017E-01	 8.460E-08	-5.987E-08	 5.889E-03
    5.4500	 1.465E-01	-1.400E-08	 0.000E+00	 1.033E-01	 1.544E-07	-1.746E-07	 7.825E-03
    5.5000	 1.484E-01	-1.348E-08	 0.000E+00	 1.051E-01	 2.019E-07	-2.298E-07	 9.926E-03
    5.5500	 1.499E-01	-1.052E-08	 0.000E+00	 1.068E-01	 2.223E-07	-2.295E-07	 1.196E-02
    5.6000	 1.509E-01	-8.617E-09	 0.000E+00	 1.083E-01	 2.152E-07	-2.562E-07	 1.368E-02
    5.6500	 1.515E-01	-3.885E-09	 0.000E+00	 1.094E-01	 1.774E-07	-2.142E-07	 1.490E-02
    5.7000	 1.516E-01	 1.476E-09	 0.000E+00	 1.099E-01	 1.155E-07	-1.259E-07	 1.545E-02
    5.7500	 1.514E-01	 4.369E-09	 0.000E+00	 1.097E-01	 3.946E-08	-6.687E-08	 1.529E-02
    5.8000	 1.507E-01	 7.937E-09	 0.000E+00	 1.090E-01	-4.392E-08	 3.282E-08	 1.442E-02
    5.8500	 1.496E-01	 1.033E-08	 0.000E+00	 1.077E-01	-1.221E-07	 1.393E-07	 1.294E-02
    5.9000	 1.480E-01	 9.703E-09	 0.000E+00	 1.060E-01	-1.833E-07	 1.906E-07	 1.103E-02
    5.9500	 1.460E-01	 9.096E-09	 0.000E+00	 1.043E-01	-2.219E-07	 2.445E-07	 8.899E-03
    6.0000	 1.436E-01	 7.182E-09	 0.000E+00	 1.025E-01	-2.311E-07	 2.708E-07	 6.782E-03
    6.0500	 1.407E-01	 3.052E-09	 0.000E+00	 1.011E-01	-2.085E-07	 2.320E-07	 4.896E-03
    6.1000	 1.374E-01	-5.265E-10	 0.000E+00	 1.000E-01	-1.590E-07	 1.869E-07	 3.413E-03
    6.1500	 1.336E-01	-4.577E-09	 0.000E+00	 9.946E-02	-8.736E-08	 1.169E-07	 2.440E-03
    6.2000	 1.296E-01	-9.243E-09	 0.000E+00	 9.944E-02	-2.812E-09	 8.383E-09	 2.007E-03
    6.2500	 1.251E-01	-1.196E-08	 0.000E+00	 9.988E-02	 8.172E-08	-7.927E-08	 2.056E-03
    6.3000	 1.205E-01	-1.361E-08	 0.000E+00	 1.007E-01	 1.562E-07	-1.597E-07	 2.463E-03
    6.3500	 1.156E-01	-1.416E-08	 0.000E+00	 1.016E-01	 2.105E-07	-2.369E-07	 3.047E-03
    6.4000	 1.106E-01	-1.192E-08	 0.000E+00	 1.025E-01	 2.360E-07	-2.622E-07	 3.602E-03
    6.4500	 1.055E-01	-8.474E-09	 0.000E+00	 1.033E-01	 2.304E-07	-2.574E-07	 3.921E-03
    6.5000	 1.005E-01	-4.473E-09	 0.000E+00	 1.036E-01	 1.943E-07	-2.320E-07	 3.831E-03
    6.5500	 9.545E-02	 7.803E-10	 0.000E+00	 1.034E-01	 1.313E-07	-1.568E-07	 3.217E-03
    6.6000	 9.055E-02	 5.311E-09	 0.000E+00	 1.027E-01	 5.108E-08	-6.571E-08	 2.031E-03
    6.6500	 8.580E-02	 8.543E-09	 0.000E+00	 1.015E-01	-3.604E-08	 2.331E-08	 3.100E-04
    6.7000	 8.123E-02	 1.125E-08	 0.000E+00	 9.990E-02	-1.195E-07	 1.260E-07	-1.835E-03
    6.7500	 7.686E-02	 1.212E-08	 0.000E+00	 9.805E-02	-1.871E-07	 2.067E-07	-4.232E-03
    6.8000	 7.272E-02	 1.119E-08	 0.000E+00	 9.615E-02	-2.299E-07	 2.508E-07	-6.674E-03
    6.8500	 6.882E-02	 9.541E-09	 0.000E+00	 9.440E-02	-2.428E-07	 2.752E-07	-8.938E-03
    6.9000	 6.517E-02	 6.449E-09	 0.000E+00	 9.299E-02	-2.231E-07	 2.581E-07	-1.083E-02
    6.9500	 6.181E-02	 2.293E-09	 0.000E+00	 9.204E-02	-1.732E-07	 1.989E-07	-1.218E-02
    7.0000	 5.875E-02	-1.720E-09	 0.000E+00	 9.165E-02	-1.002E-07	 1.239E-07	-1.291E-02
    7.0500	 5.602E-02	-5.818E-09	 0.000E+00	 9.182E-02	-1.308E-08	 2.803E-08	-1.300E-02
    7.1000	 5.367E-02	-9.349E-09	 0.000E+00	 9.248E-02	 7.636E-08	-7.738E-08	-1.251E-02
    7.1500	 5.173E-02	-1.119E-08	 0.000E+00	 9.351E-02	 1.556E-07	-1.646E-07	-1.157E-02
    7.2000	 5.023E-02	-1.154E-08	 0.000E+00	 9.475E-02	 2.144E-07	-2.337E-07	-1.035E-02
    7.2500	 4.921E-02	-1.018E-08	 0.000E+00	 9.601E-02	 2.448E-07	-2.752E-07	-9.071E-03
    7.3000	 4.870E-02	-6.912E-09	 0.000E+00	 9.710E-02	 2.423E-07	-2.741E-07	-7.912E-03
    7.3500	 4.872E-02	-2.662E-09	 0.000E+00	 9.787E-02	 2.075E-07	-2.397E-07	-7.042E-03
    7.4000	 4.927E-02	 2.067E-09	 0.000E+00	 9.823E-02	 1.451E-07	-1.746E-07	-6.572E-03
    7.4500	 5.035E-02	 6.772E-09	 0.000E+00	 9.813E-02	 6.307E-08	-8.138E-08	-6.546E-03
    7.5000	 5.194E-02	 1.048E-08	 0.000E+00	 9.761E-02	-2.733E-08	 1.930E-08	-6.934E-03
    7.5500	 5.402E-02	 1.297E-08	 0.000E+00	 9.677E-02	-1.144E-07	 1.177E-07	-7.635E-03
    7.6000	 5.654E-02	 1.410E-08	 0.000E+00	 9.576E-02	-1.865E-07	 2.042E-07	-8.500E-03
    7.6500	 5.946E-02	 1.350E-08	 0.000E+00	 9.473E-02	-2.339E-07	 2.593E-07	-9.341E-03
    7.7000	 6.273E-02	 1.157E-08	 0.000E+00	 9.388E-02	-2.503E-07	 2.808E-07	-9.970E-03
    7.7500	 6.631E-02	 8.541E-09	 0.000E+00	 9.337E-02	-2.335E-07	 2.679E-07	-1.022E-02
    7.8000	 7.016E-02	 4.428E-09	 0.000E+00	 9.330E-02	-1.852E-07	 2.148E-07	-9.954E-03
    7.8500	 7.422E-02	-4.512E-11	 0.000E+00	 9.374E-02	-1.119E-07	 1.339E-07	-9.120E-03
    7.9000	 7.848E-02	-4.323E-09	 0.000E+00	 9.469E-02	-2.351E-08	 3.824E-08	-7.723E-03
    7.9500	 8.288E-02	-8.151E-09	 0.000E+00	 9.606E-02	 6.858E-08	-6.691E-08	-5.843E-03
    8.0000	 8.742E-02	-1.070E-08	 0.000E+00	 9.773E-02	 1.516E-07	-1.628E-07	-3.617E-03
    8.0500	 9.206E-02	-1.148E-08	 0.000E+00	 9.954E-02	 2.144E-07	-2.339E-07	-1.226E-03
    8.1000	 9.679E-02	-1.063E-08	 0.000E+00	 1.013E-01	 2.487E-07	-2.774E-07	 1.129E-03
    8.1500	 1.016E-01	-8.058E-09	 0.000E+00	 1.028E-01	 2.498E-07	-2.840E-07	 3.258E-03
    8.2000	 1.064E-01	-4.092E-09	 0.000E+00	 1.040E-01	 2.173E-07	-2.496E-07	 5.003E-03
    8.2500	 1.112E-01	 3.852E-10	 0.000E+00	 1.048E-01	 1.560E-07	-1.842E-07	 6.257E-03
    8.3000	 1.159E-01	 4.789E-09	 0.000E+00	 1.050E-01	 7.389E-08	-9.463E-08	 6.981E-03
    8.3500	 1.205E-01	 8.596E-09	 0.000E+00	 1.048E-01	-1.817E-08	 1.008E-08	 7.206E-03
    8.4000	 1.249E-01	 1.114E-08	 0.000E+00	 1.043E-01	-1.078E-07	 1.124E-07	 7.023E-03
    8.4500	 1.291E-01	 1.221E-08	 0.000E+00	 1.035E-01	-1.832E-07	 1.990E-07	 6.573E-03
    8.5000	 1.331E-01	 1.180E-08	 0.000E+00	 1.027E-01	-2.344E-07	 2.604E-07	 6.030E-03
    8.5500	 1.367E-01	 9.931E-09	 0.000E+00	 1.019E-01	-2.545E-07	 2.866E-07	 5.566E-03
    8.6000	 1.399E-01	 6.811E-09	 0.000E+00	 1.015E-01	-2.407E-07	 2.742E-07	 5.335E-03
    8.6500	 1.427E-01	 2.794E-09	 0.000E+00	 1.014E-01	-1.948E-07	 2.253E-07	 5.448E-03
    8.7000	 1.450E-01	-1.702E-09	 0.000E+00	 1.017E-01	-1.227E-07	 1.465E-07	 5.959E-03
    8.7500	 1.469E-01	-6.177E-09	 0.000E+00	 1.024E-01	-3.411E-08	 4.832E-08	 6.855E-03
    8.8000	 1.483E-01	-1.010E-08	 0.000E+00	 1.034E-01	 5.925E-08	-5.691E-08	 8.059E-03
    8.8500	 1.492E-01	-1.288E-08	 0.000E+00	 1.046E-01	 1.447E-07	-1.546E-07	 9.442E-03
    8.9000	 1.496E-01	-1.403E-08	 0.000E+00	 1.058E-01	 2.108E-07	-2.306E-07	 1.084E-02
    8.9500	 1.496E-01	-1.345E-08	 0.000E+00	 1.070E-01	 2.487E-07	-2.768E-07	 1.208E-02
    9.0000	 1.492E-01	-1.115E-08	 0.000E+00	 1.078E-01	 2.532E-07	-2.866E-07	 1.298E-02
    9.0500	 1.483E-01	-7.402E-09	 0.000E+00	 1.083E-01	 2.238E-07	-2.565E-07	 1.342E-02
    9.1000	 1.471E-01	-2.934E-09	 0.000E+00	 1.083E-01	 1.646E-07	-1.927E-07	 1.332E-02
    9.1500	 1.454E-01	 1.581E-09	 0.000E+00	 1.078E-01	 8.359E-08	-1.043E-07	 1.266E-02
    9.2000	 1.434E-01	 5.616E-09	 0.000E+00	 1.069E-01	-8.628E-09	-1.116E-10	 1.149E-02
    9.2500	 1.409E-01	 8.532E-09	 0.000E+00	 1.056E-01	-9.962E-08	 1.041E-07	 9.902E-03
    9.3000	 1.382E-01	 9.969E-09	 0.000E+00	 1.042E-01	-1.773E-07	 1.927E-07	 8.058E-03
    9.3500	 1.350E-01	 9.971E-09	 0.000E+00	 1.027E-01	-2.315E-07	 2.570E-07	 6.130E-03
    9.4000	 1.315E-01	 8.542E-09	 0.000E+00	 1.013E-01	-2.550E-07	 2.875E-07	 4.292E-03
    9.4500	 1.277E-01	 5.789E-09	 0.000E+00	 1.002E-01	-2.445E-07	 2.779E-07	 2.694E-03
    9.5000	 1.236E-01	 2.155E-09	 0.000E+00	 9.939E-02	-2.015E-07	 2.320E-07	 1.450E-03
    9.5500	 1.192E-01	-1.955E-09	 0.000E+00	 9.901E-02	-1.316E-07	 1.562E-07	 6.131E-04
    9.6000	 1.146E-01	-6.179E-09	 0.000E+00	 9.902E-02	-4.398E-08	 5.848E-08	 1.777E-04
    9.6500	 1.098E-01	-9.902E-09	 0.000E+00	 9.934E-02	 4.951E-08	-4.713E-08	 7.839E-05
    9.7000	 1.050E-01	-1.253E-08	 0.000E+00	 9.987E-02	 1.363E-07	-1.451E-07	 2.023E-04
    9.7500	 1.001E-01	-1.371E-08	 0.000E+00	 1.005E-01	 2.048E-07	-2.241E-07	 4.031E-04
